Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
1	Mission: Impossible 2	2000-05-24	Paramount Pictures	PG-13	$215,409,889	39,964,728	Action
2	Gladiator	2000-05-05	Dreamworks SKG	R	$186,610,052	34,621,530	Action
3	X-Men	2000-07-14	20th Century Fox	PG-13	$157,299,717	29,183,620	Action
4	Charlie's Angels	2000-11-03	Sony Pictures	PG-13	$122,802,761	22,783,443	Action
5	Gone in 60 Seconds	2000-06-09	Walt Disney	PG-13	$101,643,008	18,857,700	Action
6	U-571	2000-04-21	Universal	PG-13	$77,086,030	14,301,675	Action
7	Shaft	2000-06-16	Paramount Pictures	R	$70,327,868	13,047,841	Action
8	Romeo Must Die	2000-03-22	Warner Bros.	R	$55,973,336	10,384,663	Action
9	The 6th Day	2000-11-17	Sony Pictures	PG-13	$34,317,634	6,366,907	Action
10	Proof of Life	2000-12-08	Warner Bros.	R	$29,053,477	5,390,255	Action
11	Reindeer Games	2000-02-25	Miramax	R	$23,360,779	4,334,096	Action
12	Battlefield Earth: A Saga o…	2000-05-12	Warner Bros.	PG-13	$21,471,685	3,983,615	Action
13	Red Planet	2000-11-10	Warner Bros.	PG-13	$17,265,409	3,203,229	Action
14	Bait	2000-09-15	Warner Bros.	R	$15,325,127	2,843,251	Action
15	Get Carter	2000-10-06	Warner Bros.	R	$14,967,182	2,776,842	Action
16	Crouching Tiger, Hidden Dragon	2000-12-08	Sony Pictures Cla…	PG-13	$13,450,791	2,495,508	Action
17	Highlander: Endgame	2000-09-01	Miramax/Dimension	R	$12,801,190	2,374,988	Action
18	The Legend of Drunken Master	2000-10-20	Miramax	R	$11,546,543	2,142,215	Action
19	Godzilla 2000	2000-08-18	Sony Pictures	PG	$10,037,390	1,862,224	Action
20	The World is Not Enough	1999-11-19	MGM	PG-13	$9,053,635	1,679,709	Action
21	The Way of the Gun	2000-09-08	Artisan	R	$6,047,856	1,122,051	Action
