Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
1	How the Grinch Stole Christmas	2000-11-17	Universal	PG	$253,367,455	47,006,948	Adventure
2	Dinosaur	2000-05-19	Walt Disney	PG	$137,748,063	25,556,226	Adventure
3	Cast Away	2000-12-22	20th Century Fox	PG-13	$109,689,440	20,350,545	Adventure
4	Chicken Run	2000-06-21	Dreamworks SKG	G	$106,793,915	19,813,342	Adventure
5	Space Cowboys	2000-08-04	Warner Bros.	PG-13	$90,179,885	16,730,961	Adventure
6	Rugrats in Paris	2000-11-17	Paramount Pictures	G	$71,205,699	13,210,704	Adventure
7	Mission to Mars	2000-03-10	Walt Disney	PG	$60,874,615	11,293,991	Adventure
8	Stuart Little	1999-12-17	Sony Pictures	PG	$60,612,097	11,245,287	Adventure
9	Snow Day	2000-02-11	Paramount Pictures	PG	$60,008,303	11,133,265	Adventure
10	102 Dalmatians	2000-11-22	Walt Disney	G	$58,335,959	10,822,997	Adventure
11	The Emperor's New Groove	2000-12-15	Walt Disney	G	$50,812,284	9,427,139	Adventure
12	The Road to El Dorado	2000-03-31	Dreamworks SKG	PG	$50,802,661	9,425,354	Adventure
13	The Tigger Movie	2000-02-11	Walt Disney	G	$45,542,421	8,449,428	Adventure
14	Galaxy Quest	1999-12-24	Dreamworks SKG	PG	$44,111,808	8,184,008	Adventure
15	Pokemon 2000	2000-07-21	Warner Bros.	G	$43,746,923	8,116,312	Adventure
16	Toy Story 2	1999-11-19	Walt Disney	G	$36,972,140	6,859,395	Adventure
17	The Flintstones in Viva Roc…	2000-04-28	Universal	PG	$35,231,365	6,536,431	Adventure
18	The Adventures of Rocky & B…	2000-06-30	Universal	PG	$26,000,610	4,823,860	Adventure
19	Titan A.E.	2000-06-16	20th Century Fox	PG	$22,751,979	4,221,146	Adventure
20	Thomas and the Magic Railroad	2000-07-26	Destination Films	G	$15,911,332	2,952,009	Adventure
21	Dungeons and Dragons	2000-12-08	New Line	PG-13	$14,250,748	2,643,923	Adventure
22	The Little Vampire	2000-10-27	New Line	PG	$13,555,988	2,515,025	Adventure
