Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
1	Meet the Parents	2000-10-06	Universal	PG-13	$161,325,490	29,930,517	Comedy
2	Scary Movie	2000-07-07	Miramax/Dimension	R	$157,019,771	29,131,682	Comedy
3	Nutty Professor II: The Klumps	2000-07-28	Universal	PG-13	$123,307,945	22,877,169	Comedy
4	Big Momma's House	2000-06-02	20th Century Fox	PG-13	$117,559,438	21,810,656	Comedy
5	The Kid	2000-07-07	Walt Disney	PG	$69,688,384	12,929,199	Comedy
6	Road Trip	2000-05-19	Dreamworks SKG	R	$68,525,609	12,713,471	Comedy
7	Bring it On	2000-08-25	Universal	PG-13	$68,353,550	12,681,549	Comedy
8	The Whole Nine Yards	2000-02-18	Warner Bros.	R	$57,262,492	10,623,838	Comedy
9	Next Friday	2000-01-12	New Line	R	$57,176,582	10,607,900	Comedy
10	Miss Congeniality	2000-12-22	Warner Bros.	PG-13	$46,382,671	8,605,319	Comedy
11	The Replacements	2000-08-11	Warner Bros.	PG-13	$44,737,059	8,300,010	Comedy
12	The Family Man	2000-12-22	Universal	PG-13	$43,144,380	8,004,523	Comedy
13	Little Nicky	2000-11-10	New Line	PG-13	$38,848,624	7,207,536	Comedy
14	Bedazzled	2000-10-20	20th Century Fox	PG-13	$37,519,291	6,960,907	Comedy
15	28 Days	2000-04-14	Sony Pictures	PG-13	$37,035,515	6,871,153	Comedy
16	Hanging Up	2000-02-18	Sony Pictures	PG-13	$36,037,909	6,686,068	Comedy
17	Dude, Where's My Car?	2000-12-15	20th Century Fox	PG-13	$35,631,910	6,610,743	Comedy
18	Almost Famous	2000-09-15	Dreamworks SKG	R	$31,939,009	5,925,604	Comedy
19	High Fidelity	2000-03-31	Walt Disney	R	$27,277,055	5,060,678	Comedy
20	Wonder Boys	2000-02-23	Paramount Pictures	R	$19,284,952	3,577,913	Comedy
21	Deuce Bigalow: Male Gigolo	1999-12-10	Walt Disney	R	$19,181,507	3,558,721	Comedy
22	Small Time Crooks	2000-05-19	Dreamworks SKG	PG	$17,266,359	3,203,406	Comedy
23	Best in Show	2000-09-27	Warner Bros.	PG-13	$17,179,643	3,187,317	Comedy
24	Drowning Mona	2000-03-03	Destination Films	PG-13	$15,427,192	2,862,187	Comedy
25	The Ladies Man	2000-10-13	Paramount Pictures	R	$13,592,872	2,521,868	Comedy
26	The Crew	2000-08-25	Walt Disney	PG-13	$13,019,253	2,415,445	Comedy
27	Ready to Rumble	2000-04-07	Warner Bros.	PG-13	$12,372,410	2,295,437	Comedy
28	Saving Grace	2000-08-04	Fine Line	R	$12,178,602	2,259,480	Comedy
29	Lucky Numbers	2000-10-27	Paramount Pictures	R	$10,014,234	1,857,928	Comedy
30	3 Strikes	2000-03-01	MGM	R	$9,821,335	1,822,140	Comedy
31	Play it to the Bone	1999-12-24	Walt Disney	R	$8,423,838	1,562,864	Comedy
32	Screwed	2000-05-12	Universal	PG-13	$6,982,680	1,295,487	Comedy
33	What Planet Are You From?	2000-03-03	Sony Pictures	R	$6,291,602	1,167,273	Comedy
34	Where the Money Is	2000-04-14	USA Films	PG-13	$5,658,940	1,049,896	Comedy
35	Held Up	2000-05-12	Trimark	PG-13	$4,714,090	874,599	Comedy
36	East is East	2000-04-14	Miramax	R	$4,170,647	773,774	Comedy
37	Whipped	2000-09-01	Destination Films	R	$4,142,507	768,554	Comedy
38	Isn't She Great	2000-01-28	Universal	R	$2,954,405	548,127	Comedy
39	But I'm a Cheerleader	2000-07-07	Lionsgate	R	$2,205,627	409,207	Comedy
40	O Brother, Where Art Thou?	2000-12-22	Walt Disney	PG-13	$1,936,631	359,300	Comedy
41	La Vie Après L'Amour	2000-07-07	Alliance Atlantis	Not Rated	$1,795,758	333,164	Comedy
42	The Broken Hearts Club: A R…	2000-09-29	Sony Pictures Cla…	R	$1,719,458	319,008	Comedy
43	Dogma	1999-11-12	Lionsgate	R	$1,668,162	309,492	Comedy
44	Gun Shy	2000-02-04	Walt Disney	R	$1,638,202	303,933	Comedy
45	State and Main	2000-12-22	Fine Line	R	$1,542,365	286,153	Comedy
46	Groove	2000-06-09	Sony Pictures Cla…	R	$1,115,313	206,922	Comedy
47	Catfish in Black Bean Sauce	2000-06-09	Phaedra Cinema	PG-13	$1,107,583	205,488	Comedy
48	The Cup	2000-01-28	Fine Line	G	$1,067,773	198,102	Comedy
49	Simpatico	1999-12-17	Phaedra Cinema	R	$893,290	165,730	Comedy
50	New Waterford Girl	2000-06-02	Alliance Atlantis	Not Rated	$774,469	143,686	Comedy
51	A Hard Day's Night	1964-08-11	Universal	G	$593,645	110,138	Comedy
52	Superstar	1999-10-08	Paramount Pictures	PG-13	$478,167	88,713	Comedy
53	Luminarias	2000-05-05		R	$428,247	79,452	Comedy
54	Smiling Fish and Goat on Fire	2000-08-25		R	$277,233	51,434	Comedy
55	Psycho Beach Party	2000-08-04		Not Rated	$265,107	49,184	Comedy
56	Beautiful People	2000-02-18	Trimark	R	$261,360	48,489	Comedy
57	The Closer You Get	2000-02-25		PG-13	$221,898	41,168	Comedy
