Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
1	What Women Want	2000-12-15	Paramount Pictures	PG-13	$115,761,883	21,477,158	Romantic-Comedy
2	Me, Myself & Irene	2000-06-23	20th Century Fox	R	$90,570,999	16,803,524	Romantic-Comedy
3	Keeping the Faith	2000-04-14	Walt Disney	PG-13	$37,036,404	6,871,317	Romantic-Comedy
4	Return to Me	2000-04-07	MGM	PG	$32,662,299	6,059,795	Romantic-Comedy
5	Boys and Girls	2000-06-16	Miramax	PG-13	$21,799,652	4,044,462	Romantic-Comedy
6	Down to You	2000-01-21	Miramax	PG-13	$20,035,310	3,717,126	Romantic-Comedy
7	Loser	2000-07-21	Sony Pictures	R	$15,464,026	2,869,021	Romantic-Comedy
8	Dr. T and the Women	2000-10-13	Artisan	R	$13,065,561	2,424,037	Romantic-Comedy
9	Whatever it Takes	2000-03-24	Sony Pictures	PG-13	$8,735,529	1,620,691	Romantic-Comedy
10	Woman on Top	2000-09-22	Fox Searchlight	R	$5,018,450	931,066	Romantic-Comedy
11	The Tao of Steve	2000-08-04	Sony Pictures Cla…	R	$4,342,203	805,603	Romantic-Comedy
12	Sweet and Lowdown	1999-12-03	Sony Pictures Cla…	PG-13	$3,329,098	617,643	Romantic-Comedy
13	Bossa Nova	2000-04-28	Sony Pictures Cla…	R	$1,816,792	337,067	Romantic-Comedy
14	Girl on the Bridge	2000-07-28	Paramount Vantage	R	$1,713,995	317,995	Romantic-Comedy
15	The Best Man	1999-10-22	Universal	R	$809,260	150,141	Romantic-Comedy
16	Me, Myself & I	2000-04-07	Sony Pictures Cla…	R	$565,193	104,859	Romantic-Comedy
17	Love and Sex	2000-08-25	Lionsgate	Not Rated	$536,287	99,496	Romantic-Comedy
18	The Bachelor	1999-11-05	New Line	PG-13	$464,545	86,186	Romantic-Comedy
19	Love's Labour's Lost	2000-06-09	Miramax	PG	$284,291	52,744	Romantic-Comedy
20	Chal Mere Bhai	2000-05-05	Eros Entertainment	Not Rated	$199,227	36,962	Romantic-Comedy
21	Fever Pitch	1999-09-24	Phaedra Cinema	R	$110,865	20,568	Romantic-Comedy
